Country,Sector,Annual Export to the US ($ million),Baseline ETR (%),S301 ETR (%),ETR Change (pp)
Kenya,Chemical & Pharmaceutical,16.4,23.1,15.1,-8.1
Kenya,Consumer Goods & Crafts,11.4,9.2,0.0,-9.2
Kenya,Art & Collectibles,2.5,10.0,0.0,-10.0
Kenya,Textile & Apparel Manufacturing,616.1,10.0,0.0,-10.0
Lesotho,Industrial Equipment & Technology,1.5,10.0,0.2,-9.8
Lesotho,Agricultural & Foods,0.9,10.0,0.0,-10.0
Lesotho,Art & Collectibles,0.0,10.0,0.0,-10.0
Lesotho,Consumer Goods & Crafts,91.2,10.0,0.0,-10.0
Lesotho,Textile & Apparel Manufacturing,219.3,10.0,0.0,-10.0
Liberia,Energy & Minerals,0.2,0.0,0.0,0.0
Liberia,Chemical & Pharmaceutical,69.8,0.0,0.0,-0.0
Liberia,Base Metals,0.3,47.9,47.3,-0.5
Liberia,Industrial Equipment & Technology,0.9,10.6,4.9,-5.6
Liberia,Consumer Goods & Crafts,4.0,7.5,0.0,-7.5
Liberia,Agricultural & Foods,0.8,10.0,0.0,-10.0
Liberia,Textile & Apparel Manufacturing,0.0,10.0,0.0,-10.0
Liberia,Art & Collectibles,0.3,10.0,0.0,-10.0
Libya,Art & Collectibles,0.7,10.0,12.5,2.5
Libya,Textile & Apparel Manufacturing,0.0,10.0,12.5,2.5
Libya,Chemical & Pharmaceutical,33.9,10.0,12.5,2.5
Libya,Consumer Goods & Crafts,0.0,9.1,11.2,2.1
Libya,Industrial Equipment & Technology,0.1,11.6,13.4,1.7
Libya,Energy & Minerals,2577.8,0.0,0.0,0.0
Libya,Base Metals,0.0,25.0,25.0,0.0
Libya,Agricultural & Foods,0.3,10.0,0.2,-9.8
Madagascar,Energy & Minerals,62.9,0.2,0.0,-0.2
Madagascar,Agricultural & Foods,201.4,0.6,0.0,-0.6
Madagascar,Base Metals,89.6,6.2,0.1,-6.1
Madagascar,Industrial Equipment & Technology,0.6,14.5,7.8,-6.6
Madagascar,Chemical & Pharmaceutical,5.8,8.3,0.0,-8.3
Madagascar,Consumer Goods & Crafts,73.1,10.0,0.0,-10.0
Madagascar,Art & Collectibles,1.1,10.0,0.0,-10.0
Madagascar,Textile & Apparel Manufacturing,425.0,10.0,0.0,-10.0
Malawi,Agricultural & Foods,39.1,6.2,0.0,-6.2
Malawi,Industrial Equipment & Technology,0.1,14.5,7.9,-6.5
Malawi,Art & Collectibles,0.1,10.0,0.0,-10.0
